ville;abri;ID DSP;ID Autolib;adresse;Code Postal;prises Autolib;prises Tiers T3;type;XY
Montrouge;;92049-02;Montrouge/Jean Jaurès/51;51 avenue Jean Jaurès;92120;6.0;;Voirie;48.816563, 2.313118
Montrouge;1.0;92049-12;Montrouge/République/43;43 avenue de la République;92120;6.0;;Voirie;48.818371, 2.319595
Nanterre;;92050-11;Nanterre/République/403;403 Avenue de la République;92000;6.0;;Voirie;48.912309, 2.223763
Nanterre;;92050-18;Nanterre/Waldeck Rochet/8;8 rue Waldeck Rochet;92000;6.0;;Voirie;48.89035, 2.197793
Paris;;75108-32;Paris/Tronchet/19;19 rue Tronchet;75008;4.0;2;Voirie;48.872225, 2.325844
Paris;;75109-03;Paris/Rochambeau/6;6 rue Rochambeau;75009;4.0;;Voirie;48.877384, 2.34648
Paris;;75109-04;Paris/Turgot/4;4 rue Turgot;75009;4.0;1;Voirie;48.880073, 2.345554
Paris;;75109-05;Paris/Clichy/23;23 Boulevard de Clichy;75009;4.0;1;Voirie;48.882447, 2.336371
Paris;;75109-11;Paris/Conservatoire/13;13 rue du conservatoire;75009;4.0;2;Voirie;48.873591, 2.346832
Paris;;75110-01;Paris/Valmy/107;107 Quai de Valmy;75010;4.0;2;Voirie;48.875968, 2.365718
Paris;;75110-02;Paris/Guy Patin/10;10 rue Guy Patin;75010;4.0;2;Voirie;48.883263, 2.351155
Paris;;75110-09;Paris/Grange aux Belles/11;11 Rue de la Grange aux Belles;75010;4.0;1;Voirie;48.873829, 2.364968
Paris;;75110-11;Paris/Sibour/2;2 rue Sibour;75010;4.0;2;Voirie;48.875003, 2.358833
Paris;;75110-25;Paris/Metz/6;6 Rue de Metz;75010;4.0;;Voirie;48.870887, 2.35392
Paris;;75110-32;Paris/Saint-Denis/91;91 rue du Faubourg Saint-Denis;75010;4.0;;Voirie;48.87408, 2.355076
Paris;;75111-01;Paris/Richard Lenoir/8;8 Boulevard Richard Lenoir;75011;4.0;1;Voirie;48.854473, 2.370168
Paris;;75111-03;Paris/Philippe Auguste/1;1 avenue Philippe Auguste;75011;4.0;1;Voirie;48.849463, 2.395181
Paris;;75111-14;Paris/Renault/2;2 rue du Général Renault;75011;4.0;3;Voirie;48.861161, 2.377977
Paris;;75111-18;Paris/République/5;5 avenue de la République;75011;4.0;2;Voirie;48.866743, 2.36754
Paris;;75111-25;Paris/Faidherbe/27;27 Rue Faidherbe;75011;4.0;1;Voirie;48.852641, 2.382977
Paris;;75111-26;Paris/François de Neufchateau/11;11 rue François de Neufchateau;75011;4.0;2;Voirie;48.856135, 2.38256
Paris;;75111-36;Paris/Parmentier/62;62 Avenue Parmentier;75011;4.0;;Voirie;48.862798, 2.376544
Paris;;75112-09;Paris/Crozatier/33;33 rue Crozatier;75012;4.0;2;Voirie;48.84719, 2.38121
Paris;;75112-18;Paris/Pirogues de Bercy/44;44 Rue des Pirogues de Bercy;75012;4.0;2;Voirie;48.832783, 2.387035
Paris;1.0;75112-19;Paris/Diderot/172;172 boulevard Diderot;75012;4.0;1;Voirie;48.846778, 2.382059
Paris;;75112-23;Paris/Saint-Mandé/48;48 Avenue de Saint-Mandé;75012;4.0;;Voirie;48.844836, 2.401637
Paris;;75112-24;Paris/Fabre d'Églantine/2;2 Rue Fabre d'Églantine;75012;4.0;1;Voirie;48.846439, 2.395565
Paris;;75112-27;Paris/Arnold Netter/10;10 Avenue du Docteur Arnold Netter;75012;4.0;1;Voirie;48.841608, 2.404957
Paris;;75112-28;Paris/Laperrine/15;15 avenue du Général Laperrine;75012;4.0;2;Voirie;48.834089, 2.406381
Paris;;75112-35;Paris/Émile Laurent/1;1 avenue Émile Laurent;75012;4.0;2;Voirie;48.841702, 2.411286
Paris;;75113-09;Paris/Charles Moureu/42;42 rue Charles Moureu;75013;4.0;2;Voirie;48.828667, 2.361231
Paris;;75113-12;Paris/Gouthière/12;12 Rue Gouthière;75013;4.0;2;Voirie;48.820307, 2.351226
Paris;;75113-15;Paris/Sœur Rosalie/4;4 avenue de la Sœur Rosalie;75013;4.0;;Voirie;48.831975, 2.35414
Paris;;75113-27;Paris/Jeanne D'Arc/157;157 rue Jeanne D'Arc;75013;4.0;1;Voirie;48.836597, 2.359179
Paris;;75113-32;Paris/Chevaleret/79;79 rue du Chevaleret;75013;4.0;1;Voirie;48.829066, 2.375951
Paris;;75114-09;Paris/Pernety/46;46 Rue Pernety;75014;4.0;;Voirie;48.834252, 2.317832
Paris;;75114-14;Paris/Froidevaux/71;71 rue Froidevaux;75014;4.0;;Voirie;48.837018, 2.324313
